f1_score;pct;params;features;cv_scorer
0.7687;1.0;{'model__max_depth': 8, 'model__max_features': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7019;0.9;{'model__max_depth': 1, 'model__max_features': 3};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6782;0.8;{'model__max_depth': 7, 'model__max_features': 7};['betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7223;0.7;{'model__max_depth': 4, 'model__max_features': 9};['betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'overtime', 'work_at_weekend', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6694;0.6;{'model__max_depth': 5, 'model__max_features': 5};['betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'overtime', 'work_at_weekend', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6761;0.5;{'model__max_depth': 3, 'model__max_features': 4};['betweenness', 'eigenvector', 'pagerank', 'hubs', 'overtime', 'work_at_weekend', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6256;0.4;{'model__max_depth': 4, 'model__max_features': 2};['betweenness', 'eigenvector', 'pagerank', 'overtime', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.5492;0.3;{'model__max_depth': 10, 'model__max_features': 4};['betweenness', 'eigenvector', 'pagerank', 'overtime', 'work_at_weekend'];f1_macro
0.4971;0.2;{'model__max_depth': 8, 'model__max_features': 1};['betweenness', 'eigenvector', 'work_at_weekend'];f1_macro
0.4470;0.1;{'model__max_depth': 1, 'model__max_features': 1};['eigenvector', 'work_at_weekend'];f1_macro
