f1_score;pct;params;features;cv_scorer
0.4363;1.0;{'model__max_depth': 5.0, 'model__max_features': 11, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4420;0.9;{'model__max_depth': 3.0, 'model__max_features': 8, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4149;0.8;{'model__max_depth': 3.0, 'model__max_features': 8, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3510;0.7;{'model__max_depth': 2.0, 'model__max_features': 5, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4575;0.6;{'model__max_depth': 7.0, 'model__max_features': 5, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.3834;0.5;{'model__max_depth': 11.0, 'model__max_features': 2, 'model__n_estimators': 8};['in_degree', 'out_degree', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.2981;0.4;{'model__max_depth': 12.0, 'model__max_features': 1, 'model__n_estimators': 16};['in_degree', 'out_degree', 'closeness', 'eigenvector', 'pagerank', 'hubs'];f1_macro
0.3389;0.3;{'model__max_depth': 10.0, 'model__max_features': 2, 'model__n_estimators': 1};['in_degree', 'out_degree', 'closeness', 'eigenvector', 'hubs'];f1_macro
0.3742;0.2;{'model__max_depth': 8.0, 'model__max_features': 1, 'model__n_estimators': 200};['in_degree', 'eigenvector', 'hubs'];f1_macro
0.3137;0.1;{'model__max_depth': 5.0, 'model__max_features': 1, 'model__n_estimators': 2};['eigenvector', 'hubs'];f1_macro
