f1_score;pct;params;features;cv_scorer
0.4163;1.0;{'model__max_depth': 10.0, 'model__max_features': 6, 'model__n_estimators': 32};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3852;0.9;{'model__max_depth': 8.0, 'model__max_features': 8, 'model__n_estimators': 16};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3810;0.8;{'model__max_depth': 6.0, 'model__max_features': 3, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3407;0.7;{'model__max_depth': 5.0, 'model__max_features': 1, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3360;0.6;{'model__max_depth': 6.0, 'model__max_features': 6, 'model__n_estimators': 16};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3917;0.5;{'model__max_depth': 6.0, 'model__max_features': 1, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'neighborhood_variability_all'];f1_macro
0.3822;0.4;{'model__max_depth': 13.0, 'model__max_features': 2, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs'];f1_macro
0.3347;0.3;{'model__max_depth': 14.0, 'model__max_features': 4, 'model__n_estimators': 16};['in_degree', 'out_degree', 'closeness', 'eigenvector', 'hubs'];f1_macro
0.3599;0.2;{'model__max_depth': 13.0, 'model__max_features': 1, 'model__n_estimators': 8};['out_degree', 'eigenvector', 'hubs'];f1_macro
0.3520;0.1;{'model__max_depth': 15.0, 'model__max_features': 1, 'model__n_estimators': 4};['out_degree', 'eigenvector'];f1_macro
