f1_score;pct;params;features;cv_scorer
0.4374;1.0;{'model__max_depth': 7.0, 'model__max_features': 3, 'model__n_estimators': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4380;0.9;{'model__max_depth': 7.0, 'model__max_features': 4, 'model__n_estimators': 2};['in_degree', 'out_degree', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4312;0.8;{'model__max_depth': 3.0, 'model__max_features': 10, 'model__n_estimators': 4};['in_degree', 'out_degree', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3780;0.7;{'model__max_depth': 7.0, 'model__max_features': 1, 'model__n_estimators': 64};['in_degree', 'out_degree', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'overtime', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3886;0.6;{'model__max_depth': 10.0, 'model__max_features': 4, 'model__n_estimators': 16};['in_degree', 'out_degree', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3954;0.5;{'model__max_depth': 11.0, 'model__max_features': 6, 'model__n_estimators': 1};['in_degree', 'out_degree', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.4065;0.4;{'model__max_depth': 5.0, 'model__max_features': 4, 'model__n_estimators': 2};['out_degree', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count'];f1_macro
0.4075;0.3;{'model__max_depth': 11.0, 'model__max_features': 2, 'model__n_estimators': 1};['out_degree', 'closeness', 'eigenvector', 'hubs', 'cliques_count'];f1_macro
0.3867;0.2;{'model__max_depth': 11.0, 'model__max_features': 1, 'model__n_estimators': 2};['out_degree', 'closeness', 'eigenvector'];f1_macro
0.2872;0.1;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 4};['closeness', 'eigenvector'];f1_macro
