f1_score;pct;params;features;cv_scorer
0.4048;1.0;{'model__max_depth': 10.0, 'model__max_features': 7, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4249;0.9;{'model__max_depth': 7.0, 'model__max_features': 6, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4133;0.8;{'model__max_depth': 4.0, 'model__max_features': 4, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3571;0.7;{'model__max_depth': 2.0, 'model__max_features': 1, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.3850;0.6;{'model__max_depth': 11.0, 'model__max_features': 1, 'model__n_estimators': 16};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'authorities', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.3925;0.5;{'model__max_depth': 10.0, 'model__max_features': 2, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.3362;0.4;{'model__max_depth': 8.0, 'model__max_features': 4, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'eigenvector', 'hubs', 'neighborhood_variability_recipient'];f1_macro
0.3778;0.3;{'model__max_depth': 13.0, 'model__max_features': 1, 'model__n_estimators': 1};['out_degree', 'betweenness', 'eigenvector', 'hubs', 'neighborhood_variability_recipient'];f1_macro
0.3160;0.2;{'model__max_depth': 4.0, 'model__max_features': 2, 'model__n_estimators': 2};['out_degree', 'eigenvector', 'neighborhood_variability_recipient'];f1_macro
0.3720;0.1;{'model__max_depth': 13.0, 'model__max_features': 1, 'model__n_estimators': 64};['out_degree', 'eigenvector'];f1_macro
