f1_score;pct;params;features;cv_scorer
0.4064;1.0;{'model__max_depth': 7.0, 'model__max_features': 14, 'model__n_estimators': 16};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4435;0.9;{'model__max_depth': 8.0, 'model__max_features': 6, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3990;0.8;{'model__max_depth': 13.0, 'model__max_features': 9, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3935;0.7;{'model__max_depth': 9.0, 'model__max_features': 2, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3899;0.6;{'model__max_depth': 8.0, 'model__max_features': 4, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3839;0.5;{'model__max_depth': 11.0, 'model__max_features': 2, 'model__n_estimators': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'cliques_count', 'neighborhood_variability_sender'];f1_macro
0.3667;0.4;{'model__max_depth': 8.0, 'model__max_features': 5, 'model__n_estimators': 100};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'neighborhood_variability_sender'];f1_macro
0.3705;0.3;{'model__max_depth': 8.0, 'model__max_features': 4, 'model__n_estimators': 64};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector'];f1_macro
0.3367;0.2;{'model__max_depth': 9.0, 'model__max_features': 2, 'model__n_estimators': 4};['out_degree', 'closeness', 'eigenvector'];f1_macro
0.3122;0.1;{'model__max_depth': 10.0, 'model__max_features': 1, 'model__n_estimators': 16};['closeness', 'eigenvector'];f1_macro
