ID;in_degree;out_degree;betweenness;closeness;eigenvector;clustering_coeff;pagerank;hubs;authorities;max_clique;cliques_count;overtime;work_at_weekend;neighborhood_variability_sender;neighborhood_variability_recipient;neighborhood_variability_all
17;0.8041958041958042;0.8811188811188811;0.21471486260218656;10.994049738802735;0.08629492183346645;0.004291424607147122;0.016306165706132192;0.005554418250252652;0.038809008341167;23;7076;916;16;0.5486701359518815;0.4836006511214046;0.5466184124943815
37;0.4545454545454545;0.4615384615384616;0.012016152861223284;10.94893723894903;0.08674395911492908;0.00663138491648154;0.009836921006221114;0.004352546981802761;0.0065541094767159296;22;1198;1;0;0.41423380251505254;0.39886738602918437;0.4312999838914473
136;0.4615384615384616;0.4405594405594406;0.02683935782527332;10.920010410843144;0.08666887497412783;0.0149331723777361;0.046815056756056884;0.006893610891736675;0.0918419372382535;23;1106;26;2;0.6234894462207404;0.6352720915602013;0.6559826844864604
62;0.42657342657342656;0.4405594405594406;0.04762139269181523;10.981060325611908;0.0865692143151123;0.0077504464503822;0.015379391043300324;0.01269293337363326;0.01474032906441586;23;745;66;17;0.5772349430363544;0.51359619647797;0.5789725734791524
129;0.34965034965034963;0.34965034965034963;0.004432187530779079;10.9602143835198;0.08676553803061966;0.00726855413262279;0.01214953132263089;0.0035100621019684684;0.00894630833995208;21;690;4;0;0.6016988340765514;0.6011721611721612;0.5783708475332747
32;0.2937062937062937;0.2937062937062937;0.0006894513936767457;10.928478415783797;0.08611680178879548;0.006386936637754236;0.004995905303417708;0.005374290889664964;0.00656300533747922;18;237;52;0;0.5051037549407115;0.34355419799498743;0.4710133557144942
97;0.5104895104895105;0.5104895104895105;0.0016743819560720967;10.975156962361712;0.08656008999532062;0.005562330837431826;0.008062894602011436;0.0065947590925954595;0.00719430056592789;22;2135;1;0;0.5070300229385794;0.5540206928960332;0.5733054624819035
19;0.3986013986013986;0.3566433566433567;0.005958829902491874;10.941923706073537;0.08668844712255633;0.007981100305185737;0.012436633202629836;0.02257495643727137;0.011441650820809276;23;666;0;0;0.5161554268171915;0.5328645347027701;0.5411706349206349
148;0.4335664335664336;0.4195804195804196;0.007682458386683739;10.938885881353393;0.08675121549359864;0.008632171213472251;0.013934524589545258;0.00541247205820851;0.011031632361222487;23;1667;0;0;0.4898904662712802;0.6016216618524892;0.6179068815944879
105;0.4195804195804196;0.3916083916083916;0.0;11.001371943521104;0.0862215394125563;0.0054791459258962255;0.004985797552479084;0.004736170846952722;0.004061597774337693;21;850;1;0;0.3748835403726708;0.3712271188068962;0.37286223707939714
