ID;in_degree;out_degree;betweenness;closeness;eigenvector;clustering_coeff;pagerank;hubs;authorities;max_clique;cliques_count;overtime;work_at_weekend
17;0.8115942028985508;0.8840579710144928;0.20268697767904367;12.075831489470305;0.08794476245782645;0.004385446149134272;0.01609275177076312;0.0058428145098032205;0.03598397294928003;23;7024;916;16
37;0.4710144927536232;0.4782608695652174;0.012800169258436474;12.024605475811038;0.08840463988820342;0.0066394369376492285;0.009961675952561031;0.004733208739597999;0.007012759895727798;22;1198;1;0
136;0.4710144927536232;0.4492753623188406;0.02872104093938432;11.990359245136723;0.08832962381118459;0.015036604885564863;0.046480548680820105;0.007615401833351963;0.07616714926923593;23;1103;26;2
62;0.4420289855072464;0.4565217391304348;0.04956098593039247;12.063163754217376;0.08822709283584856;0.007761282002169009;0.015432800847126912;0.012095453042119059;0.015308896905992166;23;745;66;17
129;0.3623188405797101;0.3623188405797101;0.004601713741669311;12.036730741372562;0.08842607831121295;0.007276785499929475;0.012354168888641895;0.0038869640477959375;0.009740020449187007;21;690;4;0
32;0.2898550724637681;0.2898550724637681;0.0004231460911879826;11.99601574758677;0.08776461672446123;0.006454003013951394;0.004838071012345293;0.005734585258300433;0.004554703606965081;18;234;52;0
97;0.5289855072463768;0.5289855072463768;0.0017983708875489262;12.05896705561782;0.08821617806319225;0.0055704274039914455;0.008157762492548754;0.007071102655791643;0.0074802499030142905;22;2135;1;0
19;0.4130434782608696;0.3695652173913044;0.006294298106421242;12.015646695186462;0.08834888187049877;0.00799464848610045;0.01250304099424845;0.02075093967135276;0.011492434738669248;23;666;0;0
148;0.4492753623188406;0.43478260869565216;0.008251348778165659;12.014033629899506;0.08841187448248371;0.008641829332631568;0.01409441888256096;0.005762023912383962;0.011112620469720705;23;1667;0;0
105;0.43478260869565216;0.4057971014492754;0.0;12.087785297541986;0.08787095218328407;0.005487712590592522;0.005051175903979332;0.004983612907605437;0.004364625860466546;21;850;1;0
158;0.17391304347826084;0.16666666666666666;0.0;11.971308820180418;0.0884060361299096;0.008652375861640907;0.005119490094709607;0.005451054328439251;0.0019337989377356715;16;36;24;0
41;0.1956521739130435;0.18115942028985507;5.289326139849783e-05;11.996001095493087;0.08854646120027286;0.010701406049093313;0.008452544902579438;0.005368877424026729;0.003789006511365893;17;31;0;0
133;0.4565217391304348;0.4420289855072464;0.024489580027504496;11.994563720960464;0.08843247362609442;0.008191115109016593;0.027422927005733854;0.011692387625264172;0.01875017720714004;23;972;200;21
11;0.427536231884058;0.43478260869565216;0.05834126732254311;12.028811686329256;0.08847311957072818;0.007267792496645856;0.021019270962405;0.00746614675721647;0.012296074398831562;22;1266;0;0
90;0.4565217391304348;0.3985507246376812;0.012958849042631969;12.022726433892085;0.08847894124551488;0.010946212541326465;0.02820680310097257;0.004361491434203057;0.020755509026139464;22;1384;13;0
146;0.15217391304347827;0.14492753623188406;0.0;12.0066411668729;0.08825658646079021;0.011106597707337013;0.003232128865499951;0.01118889003947708;0.0013207895401021704;15;13;23;0
161;0.2536231884057971;0.2318840579710145;0.004284354173278325;12.008228016226955;0.08847137994116888;0.009868948451830112;0.01170494223443006;0.01410458584083746;0.005203590424930529;21;86;0;0
