EventDate;Sender;Recipient
1979-12-31 21:00:00;24;153
1979-12-31 21:00:00;24;153
1979-12-31 21:00:00;51;5
1979-12-31 21:00:00;51;5
1979-12-31 21:00:00;51;5
1979-12-31 21:00:00;51;5
1979-12-31 21:00:00;63;34
1979-12-31 21:00:00;63;34
1979-12-31 21:00:00;63;146
1979-12-31 21:00:00;63;146
1979-12-31 21:00:00;63;73
1979-12-31 21:00:00;63;73
1979-12-31 21:00:00;92;38
1979-12-31 21:00:00;92;38
1979-12-31 21:00:00;122;95
1979-12-31 21:00:00;122;103
1979-12-31 21:00:00;140;56
1979-12-31 21:00:00;140;56
1979-12-31 21:00:00;140;78
1979-12-31 21:00:00;140;78
1979-12-31 21:00:00;140;82
1979-12-31 21:00:00;140;82
1979-12-31 21:00:00;140;157
1979-12-31 21:00:00;140;157
1979-12-31 21:00:00;140;173
1979-12-31 21:00:00;140;173
1979-12-31 21:00:00;12;27
1979-12-31 21:00:00;12;27
1979-12-31 21:00:00;12;51
1979-12-31 21:00:00;12;51
1979-12-31 21:00:00;12;57
1979-12-31 21:00:00;12;57
1979-12-31 21:00:00;12;34
1979-12-31 21:00:00;12;34
1979-12-31 21:00:00;12;34
1979-12-31 21:00:00;12;34
1979-12-31 21:00:00;12;82
1979-12-31 21:00:00;12;82
1979-12-31 21:00:00;12;107
1979-12-31 21:00:00;12;107
1979-12-31 21:00:00;12;37
1979-12-31 21:00:00;12;37
1979-12-31 21:00:00;12;146
1979-12-31 21:00:00;12;146
1979-12-31 21:00:00;12;146
1979-12-31 21:00:00;12;146
1979-12-31 21:00:00;12;147
1979-12-31 21:00:00;12;147
1979-12-31 21:00:00;12;73
1979-12-31 21:00:00;12;73
1979-12-31 21:00:00;73;27
1979-12-31 21:00:00;73;27
1979-12-31 21:00:00;73;27
1979-12-31 21:00:00;73;27
1979-12-31 21:00:00;73;27
1979-12-31 21:00:00;73;27
1979-12-31 21:00:00;73;27
1979-12-31 21:00:00;73;27
1979-12-31 21:00:00;73;94
1979-12-31 21:00:00;73;94
1979-12-31 21:00:00;73;94
1979-12-31 21:00:00;73;94
1979-12-31 21:00:00;71;82
1979-12-31 21:00:00;71;82
1979-12-31 21:00:00;71;147
1979-12-31 21:00:00;71;147
1998-11-24 07:23:00;114;38
1998-11-24 07:23:00;114;38
1998-11-24 07:23:00;114;38
1998-11-24 07:23:00;114;38
1998-11-30 08:22:00;114;65
1998-11-30 08:22:00;114;65
1998-11-30 08:22:00;114;65
1998-11-30 08:22:00;114;65
1998-11-30 08:22:00;114;37
1998-11-30 08:22:00;114;37
1998-11-30 08:22:00;114;37
1998-11-30 08:22:00;114;37
1998-12-02 08:47:00;114;12
1998-12-02 08:47:00;114;12
1998-12-22 08:44:00;114;22
1998-12-22 08:44:00;114;22
1998-12-22 08:44:00;114;22
1998-12-22 08:44:00;114;22
1998-12-22 08:44:00;114;65
1998-12-22 08:44:00;114;65
1998-12-22 08:44:00;114;65
1998-12-22 08:44:00;114;65
1998-12-22 08:44:00;114;37
1998-12-22 08:44:00;114;37
1998-12-22 08:44:00;114;37
1998-12-22 08:44:00;114;37
1998-12-22 08:44:00;114;160
1998-12-22 08:44:00;114;160
1998-12-22 08:44:00;114;160
1998-12-22 08:44:00;114;160
1998-12-30 10:57:00;37;65
1998-12-30 10:57:00;37;65
1998-12-30 10:57:00;37;114
1998-12-30 10:57:00;37;114
1998-12-30 10:57:00;37;12
1998-12-30 10:57:00;37;12
1999-01-04 07:21:00;114;65
1999-01-04 07:21:00;114;65
1999-01-07 13:42:00;114;37
1999-01-07 13:42:00;114;37
1999-01-07 13:42:00;114;37
1999-01-07 13:42:00;114;37
1999-01-08 13:54:00;114;12
1999-01-08 13:54:00;114;12
1999-01-13 08:39:00;114;12
1999-01-13 08:39:00;114;12
1999-01-13 08:39:00;114;12
1999-01-13 08:39:00;114;12
1999-01-13 11:41:00;114;22
1999-01-13 11:41:00;114;22
1999-01-13 11:41:00;114;38
1999-01-13 11:41:00;114;38
1999-01-13 11:41:00;114;65
1999-01-13 11:41:00;114;65
1999-01-13 11:41:00;114;37
1999-01-13 11:41:00;114;37
1999-01-13 11:41:00;114;12
1999-01-13 11:41:00;114;12
1999-01-13 11:41:00;114;160
1999-01-13 11:41:00;114;160
1999-01-18 14:56:00;114;38
1999-01-18 14:56:00;114;38
1999-03-05 12:56:00;114;22
1999-03-05 12:56:00;114;22
1999-03-19 11:38:00;114;38
1999-03-19 11:38:00;114;38
1999-03-25 08:54:00;114;38
1999-03-25 08:54:00;114;38
1999-03-25 17:15:00;114;65
1999-03-25 17:15:00;114;65
1999-03-25 17:15:00;114;65
1999-03-25 17:15:00;114;65
1999-04-12 13:40:00;114;65
1999-04-12 13:40:00;114;65
1999-05-03 11:00:00;65;38
1999-05-03 11:00:00;65;38
1999-05-04 06:04:00;38;65
1999-05-04 06:04:00;38;65
1999-05-04 06:04:00;38;37
1999-05-04 06:04:00;38;37
1999-05-10 10:36:00;65;22
1999-05-10 10:36:00;65;160
1999-05-11 13:44:00;22;65
1999-05-11 13:44:00;22;65
1999-05-11 17:10:00;37;65
1999-05-11 17:10:00;37;65
1999-05-11 17:10:00;37;114
1999-05-11 17:10:00;37;114
1999-05-12 08:51:00;114;37
1999-05-12 08:51:00;114;37
1999-05-13 06:18:00;160;22
1999-05-13 12:05:00;160;22
1999-05-13 12:05:00;160;22
1999-05-19 16:09:00;114;38
1999-05-19 16:09:00;114;38
1999-05-19 16:09:00;114;38
1999-05-19 16:09:00;114;38
1999-05-20 13:52:00;38;114
1999-05-20 13:52:00;38;114
1999-05-24 07:53:00;114;107
1999-05-24 07:53:00;114;107
1999-05-24 09:13:00;107;114
1999-05-24 09:13:00;107;114
1999-05-24 11:00:00;38;65
1999-05-24 11:00:00;38;65
1999-05-25 06:53:00;107;114
1999-05-25 06:53:00;107;114
1999-05-25 06:53:00;107;114
1999-05-25 06:53:00;107;114
1999-05-27 10:29:00;65;22
1999-05-27 10:29:00;65;160
1999-06-01 09:24:00;114;38
1999-06-01 09:24:00;114;38
1999-06-09 09:53:00;107;114
1999-06-09 09:53:00;107;114
1999-06-09 11:45:00;107;114
1999-06-09 11:45:00;107;114
1999-06-09 11:45:00;107;114
1999-06-09 11:45:00;107;114
1999-06-11 14:33:00;107;114
1999-06-11 14:33:00;107;114
1999-06-14 07:31:00;114;107
1999-06-14 07:31:00;114;107
1999-06-16 08:37:00;114;107
1999-06-16 08:37:00;114;107
1999-06-16 09:21:00;114;107
1999-06-16 09:21:00;114;107
1999-06-16 10:39:00;38;96
1999-06-16 10:39:00;38;96
1999-06-16 10:56:00;114;37
1999-06-16 10:56:00;114;37
1999-06-16 10:56:00;114;37
1999-06-16 10:56:00;114;37
1999-06-17 06:28:00;160;22
1999-06-22 13:11:00;160;22
1999-06-24 06:45:00;114;107
1999-06-24 06:45:00;114;107
