f1_score;pct;params;features;cv_scorer
0.4390;1.0;{'model__max_depth': 7.0, 'model__max_features': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4057;0.9;{'model__max_depth': 9.0, 'model__max_features': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4058;0.8;{'model__max_depth': 7.0, 'model__max_features': 7};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3981;0.7;{'model__max_depth': 7.0, 'model__max_features': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'hubs', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3550;0.6;{'model__max_depth': 18.0, 'model__max_features': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3670;0.5;{'model__max_depth': 7.0, 'model__max_features': 3};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'hubs', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3416;0.4;{'model__max_depth': 9.0, 'model__max_features': 1};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3541;0.3;{'model__max_depth': 5.0, 'model__max_features': 4};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'neighborhood_variability_all'];f1_macro
0.2950;0.2;{'model__max_depth': 6.0, 'model__max_features': 1};['closeness', 'eigenvector', 'neighborhood_variability_all'];f1_macro
0.2766;0.1;{'model__max_depth': 3.0, 'model__max_features': 1};['closeness', 'eigenvector'];f1_macro
