f1_score;pct;params;features;cv_scorer
0.3999;1.0;{'model__max_depth': 8.0, 'model__max_features': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3852;0.9;{'model__max_depth': 7.0, 'model__max_features': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'overtime', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3651;0.8;{'model__max_depth': 7.0, 'model__max_features': 9};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.3790;0.7;{'model__max_depth': 15.0, 'model__max_features': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4091;0.6;{'model__max_depth': 13.0, 'model__max_features': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3674;0.5;{'model__max_depth': 8.0, 'model__max_features': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs'];f1_macro
0.3723;0.4;{'model__max_depth': 7.0, 'model__max_features': 4};['out_degree', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs'];f1_macro
0.4089;0.3;{'model__max_depth': 9.0, 'model__max_features': 2};['out_degree', 'closeness', 'eigenvector', 'clustering_coeff', 'hubs'];f1_macro
0.4064;0.2;{'model__max_depth': 5.0, 'model__max_features': 2};['out_degree', 'eigenvector', 'clustering_coeff'];f1_macro
0.3373;0.1;{'model__max_depth': 6.0, 'model__max_features': 1};['eigenvector', 'clustering_coeff'];f1_macro
