f1_score;pct;params;features;cv_scorer
0.4100;1.0;{'model__max_depth': 12.0, 'model__max_features': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4136;0.9;{'model__max_depth': 11.0, 'model__max_features': 3};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.3993;0.8;{'model__max_depth': 9.0, 'model__max_features': 6};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_all'];f1_macro
0.3903;0.7;{'model__max_depth': 10.0, 'model__max_features': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_all'];f1_macro
0.3928;0.6;{'model__max_depth': 9.0, 'model__max_features': 3};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count', 'overtime', 'neighborhood_variability_all'];f1_macro
0.3404;0.5;{'model__max_depth': 14.0, 'model__max_features': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'neighborhood_variability_all'];f1_macro
0.3484;0.4;{'model__max_depth': 6.0, 'model__max_features': 2};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'hubs', 'neighborhood_variability_all'];f1_macro
0.3239;0.3;{'model__max_depth': 7.0, 'model__max_features': 3};['out_degree', 'betweenness', 'eigenvector', 'hubs', 'neighborhood_variability_all'];f1_macro
0.3378;0.2;{'model__max_depth': 15.0, 'model__max_features': 2};['out_degree', 'eigenvector', 'hubs'];f1_macro
0.3425;0.1;{'model__max_depth': 10.0, 'model__max_features': 1};['eigenvector', 'hubs'];f1_macro
