0.7350;1.0;{'model__max_depth': 3, 'model__max_features': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7074;0.9;{'model__max_depth': 7, 'model__max_features': 1};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7390;0.8;{'model__max_depth': 7, 'model__max_features': 3};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7902;0.7;{'model__max_depth': 5, 'model__max_features': 1};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7495;0.6;{'model__max_depth': 5, 'model__max_features': 7};['betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6928;0.5;{'model__max_depth': 5, 'model__max_features': 1};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'overtime', 'work_at_weekend', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7024;0.4;{'model__max_depth': 2, 'model__max_features': 2};['eigenvector', 'clustering_coeff', 'pagerank', 'overtime', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6305;0.3;{'model__max_depth': 7, 'model__max_features': 2};['eigenvector', 'clustering_coeff', 'pagerank', 'overtime', 'work_at_weekend'];f1_macro
0.6046;0.2;{'model__max_depth': 6, 'model__max_features': 2};['eigenvector', 'pagerank', 'work_at_weekend'];f1_macro
0.4872;0.1;{'model__max_depth': 9, 'model__max_features': 1};['eigenvector', 'work_at_weekend'];f1_macro
