f1_score;pct;params;features;cv_scorer
0.5641;1.0;{'model__max_depth': 8.0, 'model__max_features': 9};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5123;0.9;{'model__max_depth': 8.0, 'model__max_features': 11};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.5337;0.8;{'model__max_depth': 4.0, 'model__max_features': 10};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.5683;0.7;{'model__max_depth': 4.0, 'model__max_features': 2};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.5305;0.6;{'model__max_depth': 7.0, 'model__max_features': 4};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'max_clique', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.5287;0.5;{'model__max_depth': 2.0, 'model__max_features': 5};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.4603;0.4;{'model__max_depth': 3.0, 'model__max_features': 2};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.4435;0.3;{'model__max_depth': 4.0, 'model__max_features': 1};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'neighborhood_variability_recipient'];f1_macro
0.4716;0.2;{'model__max_depth': 10.0, 'model__max_features': 1};['betweenness', 'eigenvector', 'clustering_coeff'];f1_macro
0.3471;0.1;{'model__max_depth': 2.0, 'model__max_features': 1};['betweenness', 'eigenvector'];f1_macro
