f1_score;pct;params;features;cv_scorer
0.5159;1.0;{'model__max_depth': 4.0, 'model__max_features': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5078;0.9;{'model__max_depth': 5.0, 'model__max_features': 9};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5293;0.8;{'model__max_depth': 6.0, 'model__max_features': 11};['out_degree', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5637;0.7;{'model__max_depth': 10.0, 'model__max_features': 6};['out_degree', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4765;0.6;{'model__max_depth': 5.0, 'model__max_features': 5};['out_degree', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4596;0.5;{'model__max_depth': 8.0, 'model__max_features': 2};['eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4843;0.4;{'model__max_depth': 8.0, 'model__max_features': 2};['eigenvector', 'pagerank', 'authorities', 'work_at_weekend', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4514;0.3;{'model__max_depth': 3.0, 'model__max_features': 3};['eigenvector', 'pagerank', 'authorities', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.4273;0.2;{'model__max_depth': 3.0, 'model__max_features': 2};['eigenvector', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.3995;0.1;{'model__max_depth': 9.0, 'model__max_features': 1};['eigenvector', 'neighborhood_variability_recipient'];f1_macro
