f1_score;pct;params;features;cv_scorer
0.5568;1.0;{'model__max_depth': 5.0, 'model__max_features': 11};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5554;0.9;{'model__max_depth': 5.0, 'model__max_features': 1};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5380;0.8;{'model__max_depth': 7.0, 'model__max_features': 3};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5205;0.7;{'model__max_depth': 2.0, 'model__max_features': 7};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5164;0.6;{'model__max_depth': 8.0, 'model__max_features': 6};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'authorities', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5131;0.5;{'model__max_depth': 3.0, 'model__max_features': 4};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5245;0.4;{'model__max_depth': 5.0, 'model__max_features': 2};['betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.4598;0.3;{'model__max_depth': 12.0, 'model__max_features': 2};['betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.4570;0.2;{'model__max_depth': 9.0, 'model__max_features': 1};['betweenness', 'eigenvector', 'work_at_weekend'];f1_macro
0.3170;0.1;{'model__max_depth': 7.0, 'model__max_features': 1};['eigenvector', 'work_at_weekend'];f1_macro
