f1_score;pct;params;features;cv_scorer
0.4946;1.0;{'model__max_depth': 4.0, 'model__max_features': 13};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5484;0.9;{'model__max_depth': 2.0, 'model__max_features': 11};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5199;0.8;{'model__max_depth': 7.0, 'model__max_features': 9};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.4761;0.7;{'model__max_depth': 2.0, 'model__max_features': 3};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5434;0.6;{'model__max_depth': 10.0, 'model__max_features': 3};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.5827;0.5;{'model__max_depth': 7.0, 'model__max_features': 4};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'work_at_weekend', 'neighborhood_variability_all'];f1_macro
0.5099;0.4;{'model__max_depth': 9.0, 'model__max_features': 3};['betweenness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'work_at_weekend'];f1_macro
0.5300;0.3;{'model__max_depth': 4.0, 'model__max_features': 1};['betweenness', 'eigenvector', 'pagerank', 'hubs', 'work_at_weekend'];f1_macro
0.3393;0.2;{'model__max_depth': 2.0, 'model__max_features': 2};['eigenvector', 'pagerank', 'work_at_weekend'];f1_macro
0.3609;0.1;{'model__max_depth': 4.0, 'model__max_features': 1};['eigenvector', 'pagerank'];f1_macro
