f1_score;pct;params;features;cv_scorer
0.6963;1.0;{'model__max_depth': 6.0, 'model__max_features': 2, 'model__n_estimators': 16};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6528;0.9;{'model__max_depth': 6.0, 'model__max_features': 11, 'model__n_estimators': 8};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6464;0.8;{'model__max_depth': 8.0, 'model__max_features': 3, 'model__n_estimators': 8};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6811;0.7;{'model__max_depth': 5.0, 'model__max_features': 10, 'model__n_estimators': 4};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6542;0.6;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 2};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.6793;0.5;{'model__max_depth': 6.0, 'model__max_features': 7, 'model__n_estimators': 8};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.5857;0.4;{'model__max_depth': 7.0, 'model__max_features': 3, 'model__n_estimators': 1};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'neighborhood_variability_all'];f1_macro
0.5075;0.3;{'model__max_depth': 4.0, 'model__max_features': 2, 'model__n_estimators': 32};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'neighborhood_variability_all'];f1_macro
0.5311;0.2;{'model__max_depth': 13.0, 'model__max_features': 2, 'model__n_estimators': 100};['betweenness', 'eigenvector', 'pagerank'];f1_macro
0.6421;0.1;{'model__max_depth': 12.0, 'model__max_features': 1, 'model__n_estimators': 64};['betweenness', 'eigenvector'];f1_macro
