f1_score;pct;params;features;cv_scorer
0.7111;1.0;{'model__max_depth': 6.0, 'model__max_features': 12, 'model__n_estimators': 16};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6532;0.9;{'model__max_depth': 2.0, 'model__max_features': 4, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6054;0.8;{'model__max_depth': 2.0, 'model__max_features': 9, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'overtime', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6024;0.7;{'model__max_depth': 6.0, 'model__max_features': 7, 'model__n_estimators': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_all'];f1_macro
0.5718;0.6;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.5933;0.5;{'model__max_depth': 7.0, 'model__max_features': 1, 'model__n_estimators': 8};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.5849;0.4;{'model__max_depth': 2.0, 'model__max_features': 1, 'model__n_estimators': 4};['betweenness', 'closeness', 'eigenvector', 'pagerank', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.5785;0.3;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 2};['betweenness', 'closeness', 'eigenvector', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.6228;0.2;{'model__max_depth': 3.0, 'model__max_features': 2, 'model__n_estimators': 1};['eigenvector', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.4977;0.1;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 1};['eigenvector', 'neighborhood_variability_all'];f1_macro
