f1_score;pct;params;features;cv_scorer
0.7406;1.0;{'model__max_depth': 8.0, 'model__max_features': 9};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6912;0.9;{'model__max_depth': 12.0, 'model__max_features': 2};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6778;0.8;{'model__max_depth': 6.0, 'model__max_features': 6};['betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6814;0.7;{'model__max_depth': 5.0, 'model__max_features': 1};['betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6559;0.6;{'model__max_depth': 5.0, 'model__max_features': 4};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6297;0.5;{'model__max_depth': 10.0, 'model__max_features': 5};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6755;0.4;{'model__max_depth': 2.0, 'model__max_features': 3};['betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.6003;0.3;{'model__max_depth': 2.0, 'model__max_features': 1};['betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.5070;0.2;{'model__max_depth': 13.0, 'model__max_features': 1};['betweenness', 'eigenvector', 'pagerank'];f1_macro
0.4997;0.1;{'model__max_depth': 3.0, 'model__max_features': 1};['betweenness', 'eigenvector'];f1_macro
