f1_score;pct;params;features;cv_scorer
0.7194;1.0;{'model__max_depth': 3.0, 'model__max_features': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7421;0.9;{'model__max_depth': 2.0, 'model__max_features': 3};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7455;0.8;{'model__max_depth': 2.0, 'model__max_features': 1};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.7168;0.7;{'model__max_depth': 1.0, 'model__max_features': 1};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.7076;0.6;{'model__max_depth': 4.0, 'model__max_features': 8};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6702;0.5;{'model__max_depth': 8.0, 'model__max_features': 3};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6175;0.4;{'model__max_depth': 2.0, 'model__max_features': 3};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.5903;0.3;{'model__max_depth': 14.0, 'model__max_features': 2};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend'];f1_macro
0.4367;0.2;{'model__max_depth': 5.0, 'model__max_features': 1};['betweenness', 'eigenvector', 'work_at_weekend'];f1_macro
0.5138;0.1;{'model__max_depth': 3.0, 'model__max_features': 1};['betweenness', 'eigenvector'];f1_macro
