f1_score;pct;params;features;cv_scorer
0.5849;1.0;{'model__max_depth': 4.0, 'model__max_features': 12, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5633;0.9;{'model__max_depth': 2.0, 'model__max_features': 11, 'model__n_estimators': 16};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5594;0.8;{'model__max_depth': 7.0, 'model__max_features': 8, 'model__n_estimators': 4};['betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5477;0.7;{'model__max_depth': 5.0, 'model__max_features': 4, 'model__n_estimators': 8};['betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5843;0.6;{'model__max_depth': 2.0, 'model__max_features': 5, 'model__n_estimators': 2};['betweenness', 'closeness', 'eigenvector', 'pagerank', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5248;0.5;{'model__max_depth': 5.0, 'model__max_features': 1, 'model__n_estimators': 4};['betweenness', 'closeness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5005;0.4;{'model__max_depth': 6.0, 'model__max_features': 5, 'model__n_estimators': 2};['betweenness', 'closeness', 'eigenvector', 'pagerank', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.4828;0.3;{'model__max_depth': 3.0, 'model__max_features': 2, 'model__n_estimators': 32};['betweenness', 'eigenvector', 'pagerank', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.4604;0.2;{'model__max_depth': 1.0, 'model__max_features': 2, 'model__n_estimators': 64};['betweenness', 'eigenvector', 'neighborhood_variability_sender'];f1_macro
0.3535;0.1;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 100};['betweenness', 'eigenvector'];f1_macro
