f1_score;pct;params;features;cv_scorer
0.6423;1.0;{'model__max_depth': 7.0, 'model__max_features': 2, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5842;0.9;{'model__max_depth': 9.0, 'model__max_features': 2, 'model__n_estimators': 32};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6258;0.8;{'model__max_depth': 2.0, 'model__max_features': 1, 'model__n_estimators': 8};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5910;0.7;{'model__max_depth': 7.0, 'model__max_features': 2, 'model__n_estimators': 16};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'hubs', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5961;0.6;{'model__max_depth': 9.0, 'model__max_features': 3, 'model__n_estimators': 16};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'authorities', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5413;0.5;{'model__max_depth': 2.0, 'model__max_features': 6, 'model__n_estimators': 4};['betweenness', 'eigenvector', 'clustering_coeff', 'authorities', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5076;0.4;{'model__max_depth': 3.0, 'model__max_features': 1, 'model__n_estimators': 32};['betweenness', 'eigenvector', 'clustering_coeff', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.5070;0.3;{'model__max_depth': 1.0, 'model__max_features': 2, 'model__n_estimators': 32};['betweenness', 'eigenvector', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.4745;0.2;{'model__max_depth': 4.0, 'model__max_features': 1, 'model__n_estimators': 4};['betweenness', 'eigenvector', 'neighborhood_variability_recipient'];f1_macro
0.4447;0.1;{'model__max_depth': 10.0, 'model__max_features': 1, 'model__n_estimators': 64};['betweenness', 'eigenvector'];f1_macro
