f1_score;pct;params;features;cv_scorer
0.5963;1.0;{'model__max_depth': 3.0, 'model__max_features': 14, 'model__n_estimators': 16};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5826;0.9;{'model__max_depth': 2.0, 'model__max_features': 10, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6004;0.8;{'model__max_depth': 2.0, 'model__max_features': 1, 'model__n_estimators': 64};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5862;0.7;{'model__max_depth': 4.0, 'model__max_features': 1, 'model__n_estimators': 64};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5235;0.6;{'model__max_depth': 9.0, 'model__max_features': 4, 'model__n_estimators': 1};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.5116;0.5;{'model__max_depth': 2.0, 'model__max_features': 2, 'model__n_estimators': 100};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.4970;0.4;{'model__max_depth': 3.0, 'model__max_features': 1, 'model__n_estimators': 8};['betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.5117;0.3;{'model__max_depth': 1.0, 'model__max_features': 4, 'model__n_estimators': 32};['betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.4758;0.2;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 200};['betweenness', 'eigenvector', 'pagerank'];f1_macro
0.4158;0.1;{'model__max_depth': 3.0, 'model__max_features': 1, 'model__n_estimators': 100};['eigenvector', 'pagerank'];f1_macro
