f1_score;pct;params;features;cv_scorer
0.6398;1.0;{'model__max_depth': 10.0, 'model__max_features': 9};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6388;0.9;{'model__max_depth': 1.0, 'model__max_features': 5};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6234;0.8;{'model__max_depth': 1.0, 'model__max_features': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5898;0.7;{'model__max_depth': 4.0, 'model__max_features': 10};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5848;0.6;{'model__max_depth': 12.0, 'model__max_features': 7};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5660;0.5;{'model__max_depth': 4.0, 'model__max_features': 3};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.5315;0.4;{'model__max_depth': 5.0, 'model__max_features': 2};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'hubs', 'authorities'];f1_macro
0.5170;0.3;{'model__max_depth': 1.0, 'model__max_features': 1};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'hubs'];f1_macro
0.4818;0.2;{'model__max_depth': 4.0, 'model__max_features': 2};['betweenness', 'eigenvector', 'hubs'];f1_macro
0.6502;0.1;{'model__max_depth': 11.0, 'model__max_features': 1};['betweenness', 'eigenvector'];f1_macro
