f1_score;pct;params;features;cv_scorer
0.6568;1.0;{'model__max_depth': 4.0, 'model__max_features': 3};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6092;0.9;{'model__max_depth': 1.0, 'model__max_features': 7};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6422;0.8;{'model__max_depth': 6.0, 'model__max_features': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'overtime', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5850;0.7;{'model__max_depth': 8.0, 'model__max_features': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count', 'overtime', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6130;0.6;{'model__max_depth': 13.0, 'model__max_features': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'cliques_count', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5641;0.5;{'model__max_depth': 4.0, 'model__max_features': 1};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'neighborhood_variability_all'];f1_macro
0.5368;0.4;{'model__max_depth': 15.0, 'model__max_features': 1};['betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'neighborhood_variability_all'];f1_macro
0.5987;0.3;{'model__max_depth': 9.0, 'model__max_features': 1};['betweenness', 'closeness', 'eigenvector', 'pagerank', 'neighborhood_variability_all'];f1_macro
0.5270;0.2;{'model__max_depth': 13.0, 'model__max_features': 2};['betweenness', 'eigenvector', 'pagerank'];f1_macro
0.5472;0.1;{'model__max_depth': 4.0, 'model__max_features': 1};['betweenness', 'eigenvector'];f1_macro
