f1_score;pct;params;features;cv_scorer
0.6642;1.0;{'model__max_depth': 8.0, 'model__max_features': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6476;0.9;{'model__max_depth': 6.0, 'model__max_features': 4};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'overtime', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7039;0.8;{'model__max_depth': 11.0, 'model__max_features': 1};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6627;0.7;{'model__max_depth': 10.0, 'model__max_features': 7};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6417;0.6;{'model__max_depth': 2.0, 'model__max_features': 7};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6464;0.5;{'model__max_depth': 2.0, 'model__max_features': 3};['out_degree', 'eigenvector', 'pagerank', 'hubs', 'max_clique', 'cliques_count', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5938;0.4;{'model__max_depth': 8.0, 'model__max_features': 1};['eigenvector', 'pagerank', 'hubs', 'cliques_count', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.5473;0.3;{'model__max_depth': 10.0, 'model__max_features': 4};['eigenvector', 'pagerank', 'hubs', 'cliques_count', 'neighborhood_variability_all'];f1_macro
0.5360;0.2;{'model__max_depth': 11.0, 'model__max_features': 2};['eigenvector', 'hubs', 'neighborhood_variability_all'];f1_macro
0.5040;0.1;{'model__max_depth': 7.0, 'model__max_features': 1};['eigenvector', 'hubs'];f1_macro
