ID;in_degree;out_degree;betweenness;closeness;eigenvector;clustering_coeff;pagerank;hubs;authorities;max_clique;cliques_count;overtime;work_at_weekend;neighborhood_variability_sender;neighborhood_variability_recipient;neighborhood_variability_all
17;0.9491525423728814;0.9915254237288136;0.23663624511082135;69.21603128036382;0.0916698497028214;0.004761145406346456;0.01645143075897812;0.00607398787704035;0.03926449909960945;23;7002;884;33;0.5861611876988335;0.5250205086136177;0.6024187452758881
37;0.5508474576271186;0.559322033898305;0.01535564247428654;67.67949972672439;0.09166984970282112;0.006656652578521929;0.01038106369728691;0.005087100038722203;0.007500811960502475;22;1198;1;0;0.4026442307692308;0.39705882352941174;0.4305555555555556
136;0.5508474576271186;0.5169491525423728;0.03187020136172678;66.70952402286584;0.09166984970282127;0.015523761106189363;0.047828295366071534;0.007988710565846404;0.08522642490641606;23;1100;26;2;0.6363636363636364;0.6307328605200946;0.6382978723404256
62;0.5169491525423728;0.5254237288135594;0.05794582065768506;68.78861294471174;0.09166984970282124;0.00800414539582125;0.015822813716208608;0.01310179754937343;0.016378626435030696;23;737;49;35;0.5839285714285714;0.5611111111111111;0.5909090909090909
129;0.42372881355932196;0.42372881355932196;0.006374040272345356;68.10803297898079;0.09166984970282123;0.007293698931291005;0.01299048033663523;0.004354435920253235;0.010797857972359515;21;690;9;6;0.6076923076923078;0.5961538461538461;0.5813492063492063
32;0.3389830508474576;0.3389830508474576;0.0005794582065768506;66.93062856558258;0.0916698497028212;0.006481244749220515;0.005063198001282054;0.006317065838443365;0.004866690321476935;18;234;52;0;0.5383522727272727;0.34448160535117056;0.5
97;0.6186440677966102;0.6186440677966102;0.0024626973779516147;68.86598315473897;0.09166984970282133;0.005584009864772911;0.008490858645764113;0.00777512484857089;0.007984489663371917;22;2135;5;0;0.49455337690631807;0.5669642857142857;0.5821566110397947
19;0.4830508474576271;0.4322033898305085;0.006808633927277994;67.45715434485872;0.09166984970282127;0.008017593497174244;0.012949808593937821;0.0235254781852138;0.01258123775348893;23;666;0;0;0.4772727272727273;0.5119047619047619;0.5119047619047619
148;0.5254237288135594;0.5084745762711864;0.007243227582210633;67.19215056660035;0.09166984970282123;0.008660536595460906;0.01459000310517974;0.006305824711253776;0.012103671461423054;23;1667;4;0;0.5067567567567568;0.6125;0.628030303030303
105;0.5084745762711864;0.4661016949152542;0.0;69.53838549343145;0.09166984970282116;0.005664754803252453;0.005293362056591014;0.005430579954966858;0.004623431068740012;21;846;2;0;0.36024844720496896;0.378494623655914;0.375
158;0.2033898305084746;0.19491525423728812;0.0;66.19169536576578;0.0916698497028212;0.008684798609285317;0.0053995844532707706;0.00613681641947316;0.0021031305607579643;16;36;24;0;0.5470085470085471;0.5454545454545454;0.5192307692307692
41;0.2288135593220339;0.21186440677966098;7.243227582210634e-05;66.90308606460887;0.09166984970282123;0.010727392545790509;0.008898940075052833;0.00608846707662531;0.004183763188689135;17;31;0;0;0.641025641025641;0.6491228070175439;0.6666666666666666
133;0.5338983050847458;0.5169491525423728;0.030059394466174123;66.80773198037126;0.09166984970282124;0.008209362414628362;0.028400643083359906;0.01317916955173796;0.02071166099295381;23;972;196;26;0.5833333333333334;0.5071428571428571;0.580171358629131
11;0.5;0.5084745762711864;0.06830363610024627;67.81201795414502;0.0916698497028212;0.007286509392332073;0.0218292848829632;0.008379952024934181;0.013464665247821552;22;1266;0;0;0.42045454545454547;0.5202702702702703;0.5202991452991452
90;0.5338983050847458;0.4661016949152542;0.0126032159930465;67.62216324841397;0.09166984970282116;0.010970712166539543;0.029491025129644827;0.0048721292364163355;0.02295338955170716;22;1384;17;1;0.6819852941176471;0.6553552492046659;0.6553552492046659
146;0.17796610169491525;0.1694915254237288;0.0;67.24013932028443;0.09166984970282116;0.011146620349130687;0.003388712914755382;0.012394365668415348;0.0014177760148994533;15;13;23;0;0.4;0.30952380952380953;0.3333333333333333
161;0.2966101694915254;0.2711864406779661;0.004273504273504273;67.22226454360029;0.0916698497028212;0.009890742512108598;0.012181749897863928;0.01585014966931483;0.005629051956459417;21;86;0;0;0.6290849673202614;0.6666666666666666;0.6754385964912281
39;0.6694915254237288;0.652542372881356;0.004925394755903229;65.72818658459147;0.09166984970282108;0.007485195024296506;0.01666560313116033;0.00880558654109301;0.06849754366701785;23;1991;50;0;0.5153191489361701;0.5145173453996983;0.5488461538461539
