f1_score;pct;params;features;cv_scorer
0.7189;1.0;{'model__max_depth': 5.0, 'model__max_features': 7, 'model__n_estimators': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7310;0.9;{'model__max_depth': 6.0, 'model__max_features': 4, 'model__n_estimators': 100};['in_degree', 'out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6894;0.8;{'model__max_depth': 7.0, 'model__max_features': 10, 'model__n_estimators': 4};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.6987;0.7;{'model__max_depth': 2.0, 'model__max_features': 2, 'model__n_estimators': 1};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7005;0.6;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 4};['out_degree', 'betweenness', 'eigenvector', 'clustering_coeff', 'pagerank', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.6709;0.5;{'model__max_depth': 5.0, 'model__max_features': 4, 'model__n_estimators': 1};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'max_clique', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient'];f1_macro
0.6560;0.4;{'model__max_depth': 1.0, 'model__max_features': 3, 'model__n_estimators': 2};['out_degree', 'eigenvector', 'pagerank', 'max_clique', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6747;0.3;{'model__max_depth': 3.0, 'model__max_features': 2, 'model__n_estimators': 4};['eigenvector', 'pagerank', 'max_clique', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6015;0.2;{'model__max_depth': 2.0, 'model__max_features': 2, 'model__n_estimators': 2};['eigenvector', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6281;0.1;{'model__max_depth': 3.0, 'model__max_features': 1, 'model__n_estimators': 2};['eigenvector', 'neighborhood_variability_recipient'];f1_macro
