f1_score;pct;params;features;cv_scorer
0.8198;1.0;{'model__max_depth': 4.0, 'model__max_features': 2, 'model__n_estimators': 2};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'max_clique', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7911;0.9;{'model__max_depth': 3.0, 'model__max_features': 6, 'model__n_estimators': 4};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'hubs', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_sender', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.8047;0.8;{'model__max_depth': 4.0, 'model__max_features': 2, 'model__n_estimators': 16};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_recipient', 'neighborhood_variability_all'];f1_macro
0.7188;0.7;{'model__max_depth': 9.0, 'model__max_features': 1, 'model__n_estimators': 8};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'authorities', 'cliques_count', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.7078;0.6;{'model__max_depth': 1.0, 'model__max_features': 7, 'model__n_estimators': 32};['in_degree', 'out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6998;0.5;{'model__max_depth': 6.0, 'model__max_features': 7, 'model__n_estimators': 4};['out_degree', 'betweenness', 'closeness', 'eigenvector', 'clustering_coeff', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.7142;0.4;{'model__max_depth': 6.0, 'model__max_features': 1, 'model__n_estimators': 16};['out_degree', 'betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6567;0.3;{'model__max_depth': 3.0, 'model__max_features': 2, 'model__n_estimators': 32};['betweenness', 'eigenvector', 'pagerank', 'work_at_weekend', 'neighborhood_variability_recipient'];f1_macro
0.6057;0.2;{'model__max_depth': 1.0, 'model__max_features': 1, 'model__n_estimators': 100};['betweenness', 'eigenvector', 'work_at_weekend'];f1_macro
0.4897;0.1;{'model__max_depth': 3.0, 'model__max_features': 1, 'model__n_estimators': 1};['eigenvector', 'work_at_weekend'];f1_macro
